id;date;tweet;user;class
66;2022-03-18 13:57:56+00:00; RI hadeh kami lelah pak, anehnya knp skrg minyak2 justru banyak setelah harganya dinaikkan, tdk lucu pak kalo pemerintah mau menaikkan dg memjadikan langka terlebih dahulu, aneh pula negara penghasil sawit terbesar kok sampe minyak goreng mahal;zayn ahmad zaenuri;negatif
67;2022-03-18 13:51:11+00:00;7 Buzzer gak ada yang komen soal keberhasilan pemerintah menghadirkan kembali minyak goreng yang langka, ya? Mbok, ya, diapresiasi, itu kan prestasi. Minyak goreng jadi banyak dan meroket ....;Dy nitri;normal
68;2022-03-18 13:46:51+00:00;Gerindra Minyak Goreng Langka karena Pemerintah Tak Cermat ;CNN Indonesia;negatif
69;2022-03-18 13:39:01+00:00;kenaikan harga itu dilakukan setelah pemerintah mencabut harga eceran tertinggi (HET) minyak goreng pada Rabu (16/3). ;ERA.id;normal
70;2022-03-18 13:19:52+00:00;66 Ketika harga eceran tertinggi pemerintah 14000 per liter produsen minyak ingin 20000 minyak langka setelah HTE dihapus minyak goreng melimpah harganya ada yang sampai 25 ribu per liter siapa yang menang siapa yang kalah;Kurawa'News;normal
71;2022-03-18 12:50:45+00:00;Akibat dampak dari makin mahalnya harga minyak goreng kemasan di tingkat ritel modern, membuat warga beralih ke minyak goreng curah atau tanpa merek, yang masih di subsidi pemerintah, akibatnya minyak goreng curah juga ikut langka dan hilang dari peredaran sejak kemarin.;Albert Solo;negatif
72;2022-03-18 12:47:23+00:00;Disubsidi Pemerintah, Minyak Goreng Curah Langka di Pandeglang ;radarbantencoid;normal
73;2022-03-18 12:36:30+00:00;Karena banyaknya suara yang kecewa dengan pemerintah akibat harga yang mahal serta langka dipasaran akhirnya mafia minyak goreng kena getahnya juga ;eko priyo bondowoso;normal
74;2022-03-18 12:35:21+00:00;Pemerintah terus pantau stok minyak goreng murah, biar gak lagi langka seperti yang udah udah ;Bang Pian;normal
75;2022-03-18 12:21:57+00:00;Minyak goreng langka ? Kata siapa ? Kata Kidrun Jgn khawatir ,bahwa Pemerintah telah memastikan stok minyak goreng baik di Pulau Jawa dan luar pulau Jawa akan aman ...StokMinyakGorengAman ;☕ RMS ☕;normal
76;2022-03-18 12:01:15+00:00;Minyak goreng mahal;Sumedi MP;negatif
77;2022-03-18 12:00:58+00:00;Siap. Kai gak salah kok. ;bontangpost.id;normal
78;2022-03-18 11:56:35+00:00;Gak usah lebar ke mana. kalau otak loe begok minim literasi akui ajalah. loe udah offffside bego mempertanyakan PERANG UKRAINA hubnya sm MINYAK GORENG LANGKA. dan nyebut Bego lg. buat yg ngehubinginnya. Padahal yg ngeHu;Kembali nya Perlawanan;negatif
79;2022-03-18 10:30:46+00:00;Aku bukan ibu ibu sih tp aku sakit hati banget!!! WkwkHutan2 dibabat dijadiin kebun sawit, Indonesia itu salah satu negara penghasil sawit terbesar di dunia. Bisa bisanya minyak goreng langka??!!Terus kerjanya Bu Mega, para pemegang kekuasaan, sama pemerintah itu apa?! ;space man;negatif
80;2022-03-18 09:31:43+00:00;Pemerintah mengungkap adanya mafia di balik mahal dan langkanya minyak goreng. Benaran ada atau nggak sih?  ;detikcom;bot
81;2022-03-18 09:16:45+00:00;Pemerintah mengungkap adanya mafia di balik mahal dan langkanya minyak goreng. Benaran ada atau nggak sih?  ;DetikFinance;bot
82;2022-03-18 09:09:47+00:00;Sonoda didu sonoda lu tau ga kalo minyak goreng langka dan mahal? Kalo kebutuhan pokok langka dan mahal artinya pemerintah ga becus ngaturnya dan ini sdh dr awal thn.Lha didu bantu menyuarakan keluhan masyarakat kok lu kaitin sama sakit hati?Lu waras ???;Jakub;negatif
83;2022-03-18 08:58:26+00:00;Oalah pemerintah asoe Minyak goreng langka bat anjir gue datengin alfa/indo di tiap tower KOSONG SEMUA, gue nyari dah kek lomte nyari kntl ampe kudu ke warung kecil dapet 450ML harga 15K asoeLama-lama gue goreng ayam pake minyak nyongnyong juga nicurhatanSingleParent I;Ram;negatif
84;2022-03-18 08:43:02+00:00;"ruswandi palingan akan muncul lagi solusi hebat kalau ini dipertanyakan ke pemerintah, ""nggak usah pake traktor, bajak sapi atau nyangkul kan bisa"", Cabe mhal katanya nggk ush makan cabe.Daging mahal katanya nggk usah beli daging.sekrg minyak goreng langka, katanya nggk usah menggoreng";fitri cahya;negatif
85;2022-03-18 08:18:07+00:00;Pemerintah resmi mencabut kebijakan HET minyak goreng kemasan. Usai HET dicabut, stok minyak goreng di minimarket kembali melimpah setelah sempat langka.  ;Bulan Semesta;normal
86;2022-03-18 08:18:04+00:00; Selagi harganya minyak goreng (Migor) belum turun tak usah dulu dibeli, aneh ketika pemerintah tentukan HET Migor sangat langka, tapi begitu HET dicabut, Yg tadinya langka langsung membludak, karena itu tak usah dulu menggoreng, ganti sementara dengan rebusan;Suara Rakyat;normal
87;2022-03-18 08:00:02+00:00;Pendakwah, Ustadz Hilmi Firdausi tak sependapat dengan apa yang dikatakan oleh Menteri Perdagangan RI, Muhammad Lutfi yang mengklaim tak bisa mengontrol kartel minyak goreng, sehingga stok saat ini langka dan harganya melambung tinggi di pasaran domestik.;holopiscom;normal
88;2022-03-18 07:55:23+00:00;Pemerintah resmi mencabut kebijakan HET minyak goreng kemasan. Usai HET dicabut, stok minyak goreng di minimarket kembali melimpah setelah sempat langka.  ;detikcom;bot
89;2022-03-18 07:55:22+00:00;Pemerintah resmi mencabut kebijakan HET minyak goreng kemasan. Usai HET dicabut, stok minyak goreng di minimarket kembali melimpah setelah sempat langka.  ;DetikFinance;bot
90;2022-03-18 07:43:43+00:00; Penyebab Minyak Goreng langka adalah pemerintah yang gak becus kerja itu aja...;Robert;negatif
91;2022-03-18 07:20:50+00:00;RI Ditutup sekali pun harga akan tetap naik, karna harga dunia naik jgYg bikin langka produsen ga mau jualan harga 14k sekalipun subsidi, mereka sengaja nahan, pemerintah ga brani lawan oligarkiMudah mereka bikin minyak goreng seolah langka, masih 1 keluarga yg kuasain;cheshire;negatif
92;2022-03-18 07:17:26+00:00;jika minyak goreng langka ya rakyat harus mengganti metode memasak dengan cara merebus, mengukus, dan ngerujak(?) itu kan tradisi EndOnesia Kok nyuruh-nyuruh pemerintah ngendaliin harga minyak, emang kalian siapa? kalian cuman rakyat bertahan hidup sendiri lah.;Jek;negatif
93;2022-03-18 07:06:04+00:00;Pemerintah Cabut HET dan DMO, Ekonom Minyak Goreng Tidak akan Langka Lagi ;Kompas Ekonomi;normal
94;2022-03-18 07:00:00+00:00;Masyarakat masih terkatung-katung mengenai pasokan dan harga minyak goreng, bahkan harganya mencapai Rp70 ribu/liter di Kendari. Pemerintah telah menetapkan berbagai kebijakan, tetapi hasilnya belum efektif.  Infografis CNNIndonesia ;CNN Indonesia;negatif
95;2022-03-18 06:58:48+00:00;harapannya, semoga minyak goreng harganya bisa stabil lagi dan ga langka. kasian kami rakyat kecil, rakyat biasa, yg ga punya kekuasaan..semoga pemerintah bisa mengatasi ini semua, masyarakat Indonesia semuanya sehat dan diberikan kekuatan untuk menghadapi ini semua;rerereeeeeee;negatif
96;2022-03-18 06:48:12+00:00;Pemerintah telah menyalurkan subsidi minyak untuk masyarakat. Kini tidak perlu khawatir lagi dengan minyak langka. ;Kaltim Official;normal
97;2022-03-18 06:42:01+00:00;Ooohhh kirain nanyain ke pemerintah kenapa minyak goreng langka. ;The Peace Keeper;normal
98;2022-03-18 06:29:56+00:00;Jangan jangan minyak goreng langka adalah tindakan terselubung pemerintah agar masyarakat berubah ke pola hidup sehat;Setan Kubur;normal
99;2022-03-18 06:25:43+00:00;Keberadaan minyak goreng di Bandar Lampung masih sulit ditemui. Hal itu meski pemerintah mencabut aturan harga eceran tertinggi (HET) sejak beberapa hari lalu.Bandarlampung HET Minyakgoreng Lampungpost;Lampung Post (Official);normal
100;2022-03-18 06:25:03+00:00;"Puan Murka Harga Minyak Goreng Belum Normal Ibu-Ibu Menjerit""Kami meminta komitmen pemerintah untuk menyelesaikan persoalan minyak goreng yang masih langka di pasaran dan membuat masyarakat kesulitan."" --Puan Maharani ";Bersama Puan Maharani;bot
101;2022-03-18 06:08:25+00:00;Biasanya, gw banyak sependapat dengan pemerintah. Tp yg ini terlalu bodoh, masa minyak goreng langka gr2 ibu2 yg tiap hari goreng Gini ya..ada sekelompok orang, yakni produsen, yang memproduksi makanan..yang digoreng. Untuk? Memenuhi konsumen yg butuh..makanan yang digoreng. ;| THE GREAT MEMELORD |;negatif
102;2022-03-18 05:52:33+00:00; Katanya ditangan  mafia kocar kacir. sy mencurigai justru pemerintah ada dibalik kelangkaan minyak goreng.ada yg bilang fitnah?Lah...! Kita punya perangkat Mentri yg lengkap,janji memberantas sdh diucapkan.lalu knp msh saja ada bahan pangan yg langka?;Achank amri;negatif
103;2022-03-18 05:51:26+00:00;resmi mencabut kebijakan HET minyak goreng kemasan. Usai HET dicabut, stok minyak goreng di minimarket kembali melimpah setelah sempat langka.;@wpamuji;normal
104;2022-03-18 05:50:33+00:00;Minyal goreng langka, gue kira nenek mega ini buat pernyataan, bahwa pemerintah jokowi kalah dengan kartel minyak.Ini malah nyuruh rebus.Eh nenek, masak nasi goreng pake minyak, bukan di rebus.;Komodo jogging ;negatif
105;2022-03-18 05:45:33+00:00;Aneh Penghasil kelapa sawit terbesar tp bisa2nya minyak goreng langka &amp;-;bot
106;2022-03-18 05:38:03+00:00;Aneh Penghasil kelapa sawit terbesar tp bisa2nya minyak goreng langka &amp;-;bot
107;2022-03-18 05:32:37+00:00;Aneh, Penghasil kelapa sawit terbesar tp bisa2nya minyak goreng langka &amp;-;bot
108;2022-03-18 05:30:52+00:00; Aneh, Penghasi kelapa sawit terbesar tp bisa2nya minyak goreng langka &amp;-;bot
109;2022-03-18 05:14:48+00:00; RI Kebanyakan bacot lu !!!! Noh liat malaysia di subsidi harga migor bs Rp 8500/kg dan tidak langka . Ini sawit udah disubsidi 7,5 T harga per liter Rp.14rb malah migor langka !!! Lepas harga pasar banjir...yg gak bs kerja tuh siapa rakyat apa pemerintah !;pohon gaharu 🇮🇩🇵🇸 ✊💥🔥;negatif
110;2022-03-18 04:53:24+00:00;HET minyak goreng dicabut menyusul keputusan pemerintah yang tak lagi melakukan subsidi pada harga minyak goreng noncurah tersebut. TempoBisnis ;TEMPO.CO;normal
111;2022-03-18 04:50:26+00:00;Pemerintah tetap berupaya untuk menangani masalah Distribusi Minyak Goreng yg menjadi langka bbrp hari lalu.Subsidi terjangkau di pasaran !! ;Lady Cebrinx;normal
112;2022-03-18 04:35:32+00:00;Sudah tau minyak goreng langka, ini ada aja yg meng export untuk kepentingan diri nya sendiri.. pemerintah juga gaya aja sih di gedein. Ngerti mengolah negara gak sih ?;buchel adhipalma;negatif
113;2022-03-18 04:30:00+00:00;Setelah dua kali mangkir, akhirnya Menteri Perdagangan menjelaskan kepada DPR terkait permasalahan minyak goreng, yang langka dan mahal. Menteri Lutfi mengakui bahwa ia luput memprediksi kenaikan harga akibat invasi Rusia. Selengkapnya di  ;KOMPAS TV;normal
114;2022-03-18 04:30:00+00:00;Imbas langka, pemerintah merevisi harga minyak goreng curah jadi Rp14 ribu per liter.;NOVA;normal
